conference,year,players
ACC,FR,607
ACC,JR,356
ACC,SO,341
ACC,SR,259
American Athletic,FR,418
American Athletic,JR,241
American Athletic,SO,247
American Athletic,SR,218
Big 12,FR,456
Big 12,JR,270
Big 12,SO,254
Big 12,SR,210
Big Sky,FR,442
Big Sky,JR,249
Big Sky,SO,273
Big Sky,SR,234
Big South,FR,181
Big South,JR,94
Big South,SO,102
Big South,SR,188
Big Ten,FR,636
Big Ten,JR,284
Big Ten,SO,314
Big Ten,SR,232
CAA,FR,335
CAA,JR,226
CAA,SO,242
CAA,SR,243
Conference USA,FR,519
Conference USA,JR,351
Conference USA,SO,324
Conference USA,SR,301
FBS Independents,FR,279
FBS Independents,JR,191
FBS Independents,SO,186
FBS Independents,SR,171
FCS Independents,FR,203
FCS Independents,JR,83
FCS Independents,SO,98
FCS Independents,SR,69
Ivy,FR,214
Ivy,JR,206
Ivy,SO,232
Ivy,SR,219
MEAC,FR,375
MEAC,JR,188
MEAC,SO,223
MEAC,SR,180
Mid-American,FR,551
Mid-American,JR,236
Mid-American,SO,276
Mid-American,SR,329
Missouri Valley,FR,374
Missouri Valley,JR,203
Missouri Valley,SO,195
Missouri Valley,SR,192
Mountain West,FR,458
Mountain West,JR,314
Mountain West,SO,263
Mountain West,SR,250
Northeast,FR,247
Northeast,JR,170
Northeast,SO,171
Northeast,SR,128
Ohio Valley,FR,280
Ohio Valley,JR,203
Ohio Valley,SO,195
Ohio Valley,SR,172
Pac-12,FR,501
Pac-12,JR,280
Pac-12,SO,317
Pac-12,SR,279
Patriot League,FR,148
Patriot League,JR,171
Patriot League,SO,166
Patriot League,SR,150
Pioneer,FR,470
Pioneer,JR,205
Pioneer,SO,385
Pioneer,SR,154
SEC,FR,659
SEC,JR,368
SEC,SO,362
SEC,SR,261
Southern,FR,434
Southern,JR,150
Southern,SO,207
Southern,SR,134
Southland,FR,283
Southland,JR,190
Southland,SO,168
Southland,SR,150
Sun Belt,FR,324
Sun Belt,JR,211
Sun Belt,SO,144
Sun Belt,SR,187
SWAC,FR,271
SWAC,JR,225
SWAC,SO,196
SWAC,SR,177
