submission_date,submission_id,hacker_id,score
01-03-16,8494,20703,0
01-03-16,22403,53473,15
01-03-16,23965,79722,60
01-03-16,30173,36396,70
02-03-16,34928,20703,0
02-03-16,38740,15758,60
02-03-16,42769,79722,25
02-03-16,44364,79722,60
03-03-16,45440,20703,0
03-03-16,49050,36396,70
03-03-16,50273,79722,5
04-03-16,50344,20703,0
04-03-16,51360,44065,90
04-03-16,54404,53473,65
04-03-16,61533,79722,45
05-03-16,72852,20703,0
05-03-16,74546,38289,0
05-03-16,76487,62529,0
05-03-16,82439,36396,10
05-03-16,90006,36396,40
06-03-16,90404,20703,0
